merchant_id,industry,monthly_volume,days_to_ship,is_disputed,chargeback_amount
66,SaaS,67665.59,13,0,0.00
67,SaaS,59482.19,3,0,0.00
68,Retail,54847.16,15,0,0.00
69,Travel,28090.53,22,1,1404.53
70,SaaS,58271.31,5,0,0.00
71,Retail,74240.77,12,0,0.00
72,SaaS,19237.79,25,1,961.89
73,SaaS,50501.92,3,0,0.00
74,Retail,45220.85,3,0,0.00
75,SaaS,17524.78,14,0,0.00
76,Services,43465.48,21,1,2173.27
77,Retail,35331.04,11,0,0.00
78,SaaS,80252.08,4,0,0.00
79,Services,51116.16,12,0,0.00
80,Retail,47675.42,7,0,0.00
81,SaaS,27803.37,5,0,0.00
82,Retail,53390.5,8,0,0.00
83,Retail,54796.98,28,0,0.00
84,Retail,32468.92,6,0,0.00
85,Services,98875.64,13,0,0.00
86,Services,85828.48,11,0,0.00
87,SaaS,44882.4,12,0,0.00
88,Services,7547.43,20,0,0.00
89,Retail,48327.19,29,0,0.00
90,Retail,59132.76,3,0,0.00
91,SaaS,89073.4,22,0,0.00
92,Services,83758.26,11,0,0.00
93,SaaS,64692.17,1,0,0.00
94,SaaS,99018.74,8,0,0.00
95,Services,47753.58,4,0,0.00
96,Retail,96654.88,10,0,0.00
97,Travel,32546.4,6,0,0.00
98,Services,22400.93,9,0,0.00
99,Services,27453.62,7,0,0.00
100,Travel,99862.8,14,0,0.00
101,Retail,51886.84,12,0,0.00
102,Services,64330.23,19,0,0.00
103,Retail,34607.26,28,0,0.00
104,Services,56930.49,30,0,0.00
105,Retail,80010.78,11,0,0.00
106,SaaS,66364.55,12,0,0.00
107,Travel,60762.6,9,0,0.00
108,Services,7710.08,19,0,0.00
109,SaaS,55256.31,5,0,0.00
110,Travel,77431.06,13,0,0.00
111,Travel,22384.2,23,1,1119.21
112,Retail,24497.78,11,0,0.00
113,Travel,6783.54,27,1,339.18
114,SaaS,51831.2,22,0,0.00
115,Services,81503.24,17,0,0.00
116,Travel,83751.05,9,0,0.00
117,Services,7565.61,27,0,0.00
118,SaaS,26798.37,27,0,0.00
119,Services,20399.5,15,0,0.00
120,SaaS,83744.25,13,0,0.00
121,Services,45745.85,8,0,0.00
122,Retail,34324,15,0,0.00
123,Travel,11815.87,24,1,590.79
124,Travel,27927.07,14,0,0.00
125,Services,91513.94,13,0,0.00
126,Retail,94920.1,21,0,0.00
127,Retail,83164.91,10,0,0.00
128,Services,97480.25,25,0,0.00
129,SaaS,39908.77,29,0,0.00
130,Travel,69632.84,16,0,0.00
131,SaaS,12214.38,9,1,610.72
132,Travel,45011.61,1,0,0.00
133,SaaS,49312.32,4,0,0.00
134,SaaS,27841.86,16,0,0.00
135,Travel,26613.77,30,1,1330.69
136,Travel,63824.36,19,0,0.00
137,Services,98711.67,29,0,0.00
138,Services,83304.7,4,1,4165.24
139,Services,99580.68,1,0,0.00
140,SaaS,45197.28,19,0,0.00
141,Retail,46997.68,16,0,0.00
142,Retail,91261.1,3,0,0.00
143,SaaS,69687.3,21,0,0.00
144,SaaS,36659.29,17,0,0.00
145,Services,61737.85,23,0,0.00
146,Retail,46547.91,9,0,0.00
147,Retail,75675.66,22,0,0.00
148,Retail,50527.29,16,0,0.00
149,SaaS,75882.78,23,0,0.00
150,Retail,49357.85,24,0,0.00
151,Services,77544.96,20,0,0.00
152,Retail,44644.35,6,0,0.00
153,Travel,71176.49,25,1,3558.82
154,Retail,27002.1,27,0,0.00
155,Services,83663.26,13,0,0.00
156,SaaS,66925.87,8,0,0.00
157,Services,30791.4,4,0,0.00
158,SaaS,51804.32,1,0,0.00
159,Travel,9860.46,4,0,0.00
160,Services,18832.91,3,0,0.00
161,Retail,13166.5,4,0,0.00
162,Retail,44053.68,22,0,0.00
163,Services,9715.29,25,0,0.00
164,SaaS,99799.06,3,0,0.00
165,Services,66170.65,25,0,0.00
166,SaaS,26235.59,17,0,0.00
167,Retail,71530.22,27,0,0.00
168,Travel,22219.93,25,1,1111.00
169,Retail,96653.42,4,0,0.00
170,Services,68548.47,11,0,0.00
171,Services,11975.9,26,0,0.00
172,Retail,15672.04,5,0,0.00
173,Services,92845.51,1,0,0.00
174,Travel,58737.97,4,0,0.00
175,SaaS,62078.78,16,0,0.00
176,Travel,50618.59,4,0,0.00
177,SaaS,83904.73,22,0,0.00
178,SaaS,33271.68,14,0,0.00
179,SaaS,75807.06,22,0,0.00
180,Retail,7348.88,19,0,0.00
181,SaaS,17691.65,15,0,0.00
182,Services,5623.75,29,0,0.00
183,SaaS,15304.5,15,0,0.00
184,SaaS,76807.32,23,0,0.00
185,SaaS,17846.07,21,0,0.00
186,Travel,65642.07,27,0,0.00
187,Travel,80230.72,13,0,0.00
188,Retail,37649.03,26,0,0.00
189,SaaS,89203.35,25,0,0.00
190,Retail,20683.8,7,0,0.00
191,Travel,66169.91,4,0,0.00
192,Travel,62095.13,13,0,0.00
193,SaaS,6478.59,1,0,0.00
194,Services,68807.47,15,0,0.00
195,SaaS,51606.49,19,0,0.00
196,Retail,51226.54,17,0,0.00
197,Retail,16231.75,19,0,0.00
198,SaaS,90082.55,28,0,0.00
199,Services,49333.09,13,0,0.00
200,Travel,46050.79,3,0,0.00
201,Retail,12936.99,2,0,0.00
202,Travel,50544.98,24,0,0.00
203,Retail,89623.3,18,0,0.00
204,Travel,19304.51,29,1,965.23
205,Services,43159.4,28,0,0.00
206,Retail,92405.6,6,0,0.00
207,Retail,51951.07,8,0,0.00
208,Services,20915.16,18,0,0.00
209,Travel,21489.31,25,1,1074.47
210,SaaS,99255.41,22,0,0.00
211,Services,32051.78,23,0,0.00
212,Travel,65638.83,28,0,0.00
213,Travel,81789.48,16,0,0.00
214,Services,75171.9,5,0,0.00
215,Services,41016.09,7,0,0.00
216,SaaS,53007.41,24,0,0.00
217,Retail,83706.39,14,0,0.00
218,Travel,32550.09,13,0,0.00
219,Services,26021.48,28,0,0.00
220,Travel,70304,29,1,3515.20
221,Retail,76144.22,29,0,0.00
222,SaaS,5487.3,2,0,0.00
223,SaaS,11216,10,0,0.00
224,Travel,8469.29,16,0,0.00
225,Services,9251.47,25,0,0.00
226,Travel,28061.82,21,1,1403.09
227,Retail,57582.56,25,0,0.00
228,Services,49808.85,14,1,2490.44
229,Services,37211.37,11,1,1860.57
230,Retail,48242.07,2,0,0.00
231,SaaS,88924.14,28,0,0.00
232,SaaS,41227.95,22,0,0.00
233,Travel,22642.67,25,1,1132.13
234,Retail,84211.56,17,0,0.00
235,Travel,54136.44,22,1,2706.82
236,SaaS,16632.37,4,0,0.00
237,Services,75074.23,13,0,0.00
238,SaaS,28875.66,13,0,0.00
239,SaaS,69732.38,7,1,3486.62
240,Services,12985.97,28,0,0.00
241,Retail,55953.76,28,0,0.00
242,Retail,18876.23,4,0,0.00
243,Services,32657.29,15,0,0.00
244,Retail,48987.57,7,0,0.00
245,SaaS,98656.7,23,1,4932.84
246,SaaS,62452.16,12,0,0.00
247,Services,62441.45,5,0,0.00
248,Retail,78682.24,19,0,0.00
249,SaaS,55088.57,13,0,0.00
250,Travel,30388.03,23,0,0.00
251,SaaS,66954.06,22,0,0.00
252,Services,80123.51,6,0,0.00
253,Travel,15326.43,18,0,0.00
254,Retail,87987.26,14,0,0.00
255,Travel,95806.43,14,0,0.00
256,Travel,54725.03,13,0,0.00
257,Travel,55546.18,22,0,0.00
258,Services,24376.36,8,0,0.00
259,Travel,46277.67,1,0,0.00
260,Services,79727.12,22,0,0.00
261,Travel,32336.94,11,0,0.00
262,Travel,6189.14,10,0,0.00
263,Travel,94489.73,19,0,0.00
264,Services,29566.09,26,1,1478.30
265,Travel,51056.37,13,0,0.00
266,SaaS,91872.61,29,0,0.00
267,Retail,16900.77,14,0,0.00
268,Services,16825.87,18,0,0.00
269,SaaS,95609.55,15,0,0.00
270,Travel,31951.63,16,0,0.00
271,Services,97786.16,21,0,0.00
272,Travel,13640.09,1,0,0.00
273,Services,23911.04,14,0,0.00
274,Retail,9280.2,15,0,0.00
275,Retail,43807.32,19,0,0.00
276,SaaS,37077.06,8,0,0.00
277,SaaS,61624.86,19,0,0.00
278,Travel,44312.13,29,1,2215.61
279,Services,37352.98,14,0,0.00
280,Services,61784.93,23,0,0.00
281,Retail,30661.26,6,0,0.00
282,Services,72359.36,14,0,0.00
283,Travel,7486.04,11,0,0.00
284,SaaS,55181.47,3,0,0.00
285,Travel,78084.99,1,0,0.00
286,Retail,30032.66,7,0,0.00
287,Services,52915.62,24,0,0.00
288,Services,65353.71,15,0,0.00
289,Retail,40231.53,30,0,0.00
290,SaaS,97873.34,16,0,0.00
291,Services,68580.76,21,0,0.00
292,Retail,71461.51,26,0,0.00
293,Travel,84162.94,16,0,0.00
294,SaaS,8847.44,28,0,0.00
295,SaaS,13328.53,29,0,0.00
296,Retail,10785.57,22,0,0.00
297,SaaS,19809.68,20,0,0.00
298,Travel,69626.79,9,0,0.00
299,Travel,90012.64,3,0,0.00
300,Travel,28879.45,17,0,0.00
301,SaaS,48236.54,4,0,0.00
302,Travel,27773.72,13,0,0.00
303,Travel,96018.2,5,0,0.00
304,SaaS,59773.19,2,0,0.00
305,SaaS,82258.44,8,0,0.00
306,Travel,21060.51,4,0,0.00
307,Travel,31082.11,13,0,0.00
308,Travel,86879.58,23,1,4343.98
309,Services,62880.27,10,0,0.00
310,Travel,14360.84,24,0,0.00
311,Travel,85972.64,16,0,0.00
312,Services,32650.7,30,0,0.00
313,SaaS,79354.8,23,1,3967.74
314,Travel,7527.5,21,1,376.38
315,Services,12445.8,22,0,0.00
316,Services,81795.55,12,1,4089.78
317,Services,83817.19,21,0,0.00
318,Travel,7582.39,26,1,379.12
319,Services,21012.42,21,0,0.00
320,Services,83072.07,9,0,0.00
321,Services,83984.11,12,0,0.00
322,SaaS,19382.35,7,0,0.00
323,Services,56389.83,24,0,0.00
324,Retail,27847.82,6,0,0.00
325,Travel,75495.96,2,0,0.00
326,Retail,58158.14,20,0,0.00
327,SaaS,50125.39,27,0,0.00
328,Travel,61283.71,5,0,0.00
329,SaaS,15078.4,7,0,0.00
330,SaaS,54154.24,4,0,0.00
331,Travel,92386.87,2,0,0.00
332,Services,28118.5,9,0,0.00
333,Retail,18497.59,8,0,0.00
334,Retail,54311.07,18,0,0.00
335,Travel,27700.77,28,1,1385.04
336,Services,96160.45,23,0,0.00
337,SaaS,51287.86,24,0,0.00
338,Travel,24205.22,17,0,0.00
339,SaaS,87691.4,19,0,0.00
340,Retail,82043.39,4,0,0.00
341,SaaS,99757.51,15,0,0.00
342,Travel,13514.01,30,1,675.70
343,Travel,26027.92,11,0,0.00
344,Retail,82674.71,2,0,0.00
345,Travel,42735.6,21,1,2136.78
346,Services,39339.27,29,0,0.00
347,Retail,10340.39,18,0,0.00
348,SaaS,23030.01,17,0,0.00
349,SaaS,17272.84,8,0,0.00
350,Retail,93586.63,23,0,0.00
351,Retail,81681.37,9,0,0.00
352,Travel,24453.85,7,0,0.00
353,Services,19718.77,8,0,0.00
354,Retail,86160.68,26,0,0.00
355,SaaS,26594.58,18,0,0.00
356,Travel,47289.76,1,0,0.00
357,Travel,31140.16,11,0,0.00
358,Services,64709.56,12,0,0.00
359,Retail,62211.24,3,0,0.00
360,SaaS,15541.94,13,0,0.00
361,SaaS,68030.69,7,0,0.00
362,Travel,24796.71,29,1,1239.84
363,Retail,46581.69,17,0,0.00
364,Travel,49781.25,13,0,0.00
365,Services,24088.34,28,0,0.00
366,Services,6771.6,2,0,0.00
367,Services,90764.74,3,0,0.00
368,Retail,44660.62,21,0,0.00
369,Retail,76510.94,12,0,0.00
370,Retail,28921.45,19,0,0.00
371,Travel,75184.18,4,0,0.00
372,Retail,75977.93,13,0,0.00
373,Travel,68609.4,9,0,0.00
374,Retail,50483.96,15,0,0.00
375,Travel,33127.67,9,0,0.00
376,Travel,77554.61,28,0,0.00
377,SaaS,51863.96,12,0,0.00
378,Services,20986.41,12,0,0.00
379,Retail,18938.56,9,0,0.00
380,Services,91398.02,26,0,0.00
381,Services,91636.93,9,0,0.00
382,SaaS,76967.31,12,0,0.00
383,Services,85613.26,1,0,0.00
384,Services,31777.52,5,0,0.00
385,Retail,41976.81,1,0,0.00
386,Services,67612.73,3,0,0.00
387,Services,89861.82,12,1,4493.09
388,SaaS,18981.89,1,0,0.00
389,Retail,61367.05,18,0,0.00
390,Services,74922.94,8,0,0.00
391,Travel,9413.47,25,0,0.00
392,SaaS,90417.01,28,0,0.00
393,Travel,65582.56,14,0,0.00
394,Travel,13951.15,6,0,0.00
395,Retail,65957.12,12,0,0.00
396,Travel,73400,23,1,3670.00
397,Travel,29868.42,15,0,0.00
398,Services,84381.41,12,0,0.00
399,SaaS,44257.39,9,0,0.00
400,SaaS,80844.61,8,0,0.00
401,Retail,67387.46,26,0,0.00
402,Services,85485.26,19,0,0.00
403,Travel,82671.23,19,0,0.00
404,Retail,65483.84,6,0,0.00
405,SaaS,19230.02,23,0,0.00
406,Travel,11786.14,22,1,589.31
407,Services,86173.65,9,0,0.00
408,SaaS,12297.66,10,0,0.00
409,Services,51927.17,29,0,0.00
410,Services,46342.81,29,1,2317.14
411,Travel,39045.73,20,0,0.00
412,Services,38481.82,28,0,0.00
413,Services,70021.88,6,0,0.00
414,SaaS,68691.59,17,0,0.00
415,Services,48832.98,29,0,0.00
416,SaaS,46630.56,5,0,0.00
417,SaaS,99002.14,13,0,0.00
418,Services,85045.13,1,0,0.00
419,SaaS,26291.47,25,0,0.00
420,Travel,82340.66,11,0,0.00
421,Services,90333.09,6,0,0.00
422,Retail,83429.71,18,0,0.00
423,Services,46694.84,28,0,0.00
424,Travel,15504.15,12,0,0.00
425,SaaS,64486.37,16,0,0.00
426,Travel,14370.78,8,1,718.54
427,Retail,40178.41,22,0,0.00
428,Services,30193.13,30,0,0.00
429,SaaS,38085.36,28,0,0.00
430,SaaS,61256.6,13,0,0.00
431,Services,58985.93,2,0,0.00
432,Services,40834.78,19,0,0.00
433,Services,83787.39,11,0,0.00
434,Services,80208.01,10,0,0.00
435,Retail,70351.03,4,0,0.00
436,Retail,66157.09,26,0,0.00
437,Travel,9549.65,7,0,0.00
438,SaaS,41911.34,21,0,0.00
439,Retail,34604.44,15,0,0.00
440,Retail,54443.4,30,0,0.00
441,Services,29097.03,22,0,0.00
442,Travel,46804.61,7,0,0.00
443,Retail,70538.55,26,0,0.00
444,SaaS,34547.51,16,0,0.00
445,Travel,60759.7,11,0,0.00
446,SaaS,75833.76,19,0,0.00
447,Retail,78653.91,23,0,0.00
448,Travel,48689.33,26,1,2434.47
449,Travel,89646.61,5,0,0.00
450,Retail,81971.32,9,0,0.00
451,SaaS,10352.63,7,0,0.00
452,SaaS,98140.67,5,0,0.00
453,SaaS,26399.78,23,0,0.00
454,Retail,18487.1,12,0,0.00
455,Travel,12658.3,3,0,0.00
456,Services,34513.8,12,0,0.00
457,Retail,9818.39,15,0,0.00
458,Services,57243.21,1,0,0.00
459,Travel,68919.53,13,1,3445.98
460,Travel,77009.75,19,0,0.00
461,Travel,43245.06,19,1,2162.25
462,SaaS,9003.53,11,0,0.00
463,Retail,35433.69,6,0,0.00
464,SaaS,76228.77,17,0,0.00
465,Services,87484.7,15,0,0.00
466,SaaS,20899.11,15,0,0.00
467,SaaS,31976.6,27,0,0.00
468,Services,14659.99,29,0,0.00
469,Services,36151.5,25,0,0.00
470,SaaS,80458.18,30,0,0.00
471,Services,31205.65,27,0,0.00
472,Retail,96367.63,19,0,0.00
473,Retail,48025.74,6,0,0.00
474,SaaS,93589.3,18,1,4679.47
475,Travel,79036.22,19,0,0.00
476,Retail,27834.77,30,1,1391.74
477,Travel,46202.42,19,0,0.00
478,SaaS,87697.62,1,0,0.00
479,Retail,17173.45,6,0,0.00
480,SaaS,34335.73,12,0,0.00
481,Retail,37349.59,26,0,0.00
482,Retail,49873.45,27,0,0.00
483,Travel,89731.49,13,0,0.00
484,Retail,38292.4,21,0,0.00
485,Travel,66403.06,8,0,0.00
486,Retail,99594.47,4,0,0.00
487,SaaS,72304.92,8,0,0.00
488,Travel,10253.93,18,0,0.00
489,SaaS,6341.07,18,0,0.00
490,Retail,70529.02,4,0,0.00
491,Travel,47058.66,3,0,0.00
492,SaaS,40410.44,30,0,0.00
493,SaaS,37663.52,18,0,0.00
494,Travel,26460.38,12,0,0.00
495,Travel,52332.99,17,0,0.00
496,Services,84776.73,9,0,0.00
497,Services,70453.17,5,0,0.00
498,SaaS,51374.64,4,0,0.00
499,SaaS,98593.69,27,0,0.00
500,Retail,61838.16,21,0,0.00
501,Travel,43027.77,22,1,2151.39
502,Retail,36521.11,26,0,0.00
503,Services,41184.3,28,0,0.00
504,Travel,80558.13,16,0,0.00
505,Services,44026.81,5,0,0.00
506,SaaS,94194.36,22,0,0.00
507,Retail,64387.62,18,0,0.00
508,Travel,50242.38,21,1,2512.12
509,SaaS,57084.14,10,0,0.00
510,Services,27650.43,29,0,0.00
511,Travel,98140.02,17,0,0.00
512,Services,27657.69,16,0,0.00
513,Services,81749.3,27,0,0.00
514,Travel,85205.4,22,1,4260.27
515,Travel,11469.21,20,0,0.00
516,Retail,96635.66,29,0,0.00
517,Services,84809.14,30,0,0.00
518,Retail,74699.28,18,0,0.00
519,Services,67518.19,21,0,0.00
520,Travel,91101.55,30,1,4555.08
521,Retail,84493.76,26,0,0.00
522,SaaS,91951.03,18,0,0.00
523,Travel,88209.17,3,0,0.00
524,Travel,70333.32,25,1,3516.67
525,Travel,25559.86,2,1,1277.99
526,Services,5189.39,8,0,0.00
527,Retail,80461.2,29,0,0.00
528,SaaS,53017.62,10,0,0.00
529,Services,99710,19,0,0.00
530,Travel,57151.78,20,0,0.00
531,Services,87551.18,7,0,0.00
532,SaaS,35971.58,4,0,0.00
533,Retail,19168.67,23,0,0.00
534,SaaS,5984.61,22,0,0.00
535,SaaS,74313.05,27,0,0.00
536,Retail,78084.19,20,0,0.00
537,Travel,93573.52,5,0,0.00
538,Travel,9586.86,15,0,0.00
539,SaaS,5952.21,7,0,0.00
540,SaaS,39007.6,21,0,0.00
541,Services,13062.17,6,0,0.00
542,Services,93776.27,11,0,0.00
543,SaaS,52464.98,22,0,0.00
544,Travel,43499.59,23,1,2174.98
545,SaaS,18155.01,10,0,0.00
546,SaaS,87601.27,8,0,0.00
547,Travel,52231.09,9,1,2611.55
548,Travel,54279.82,9,0,0.00
549,Travel,51257.66,4,0,0.00
550,Travel,89643.51,22,1,4482.18
551,SaaS,61676.35,29,0,0.00
552,Travel,70710.73,26,1,3535.54
553,Travel,98781.95,23,1,4939.10
554,Retail,58125.78,1,0,0.00
555,Retail,56354.73,27,0,0.00
556,Travel,88067.96,20,1,4403.40
557,SaaS,37147.66,3,0,0.00
558,Travel,48821.94,16,0,0.00
559,Retail,16318.67,6,0,0.00
560,Retail,34260.79,10,0,0.00
561,Travel,66476.32,5,0,0.00
562,Travel,73251.11,24,0,0.00
563,Retail,78759.88,9,0,0.00
564,Retail,93874.74,30,0,0.00
565,SaaS,7489.67,30,1,374.48
566,Services,44267.19,18,0,0.00
567,Travel,37153.66,29,0,0.00
568,Travel,32296.66,1,0,0.00
569,Travel,81150.87,21,0,0.00
570,Services,44267.97,24,0,0.00
571,SaaS,59642.59,3,1,2982.13
572,Travel,85794.21,3,0,0.00
573,Travel,49762.58,23,1,2488.13
574,Retail,43142.66,11,0,0.00
575,Retail,74325.84,21,0,0.00
576,Services,45754.38,7,0,0.00
577,Retail,18726.23,2,0,0.00
578,Retail,15842.43,17,0,0.00
579,SaaS,59542.35,19,0,0.00
580,Travel,18679.02,28,1,933.95
581,Retail,90442.23,14,0,0.00
582,Retail,15323.8,23,0,0.00
583,Services,61049.73,29,0,0.00
584,SaaS,84791.02,13,1,4239.55
585,Retail,44383.92,25,0,0.00
586,Retail,65091.63,22,0,0.00
587,Services,10180.62,22,0,0.00
588,Retail,88150.74,25,0,0.00
589,SaaS,84573.02,12,0,0.00
590,Retail,22908.01,12,0,0.00
591,Retail,91664.59,24,0,0.00
592,Retail,15097.69,14,0,0.00
593,Retail,60900.33,29,0,0.00
594,SaaS,42078.62,6,0,0.00
595,Travel,67949.34,26,0,0.00
596,Travel,39341.68,17,0,0.00
597,Services,72203.14,27,0,0.00
598,Services,72402.81,7,0,0.00
599,Travel,11866.41,13,0,0.00
600,Retail,31164.73,9,0,0.00
601,Services,39382.53,9,0,0.00
602,Retail,23105.2,1,0,0.00
603,Retail,65611.73,30,0,0.00
604,Retail,69567.56,21,0,0.00
605,Services,86561.69,14,0,0.00
606,Travel,92193.42,10,0,0.00
607,Retail,22279.93,7,0,0.00
608,Travel,38731.11,25,1,1936.56
609,SaaS,47832.85,14,0,0.00
610,Travel,64170.7,8,0,0.00
611,SaaS,13224.24,11,1,661.21
612,SaaS,18204.2,30,0,0.00
613,Travel,84855.47,28,0,0.00
614,Travel,75099.72,24,1,3754.99
615,Retail,53592.75,9,0,0.00
616,SaaS,38152.88,6,0,0.00
617,Services,46544.55,30,0,0.00
618,Services,15865.27,26,0,0.00
619,SaaS,8290.44,11,0,0.00
620,Travel,30038.26,18,0,0.00
621,SaaS,69933.18,18,0,0.00
622,Services,46112.79,22,0,0.00
623,SaaS,35156.54,18,0,0.00
624,Retail,18055.79,18,0,0.00
625,Services,58719.14,14,0,0.00
626,Travel,50976.95,4,0,0.00
627,Services,76027.96,21,0,0.00
628,Travel,15043.82,10,0,0.00
629,SaaS,9697.39,19,1,484.87
630,Retail,42005.9,21,0,0.00
631,Services,77804.33,22,0,0.00
632,Services,63332.92,10,0,0.00
633,Retail,61343.97,10,0,0.00
634,Travel,19336.99,3,0,0.00
635,Travel,11493.18,30,0,0.00
636,SaaS,64824.1,25,0,0.00
637,SaaS,58075.84,3,0,0.00
638,Services,55118.53,12,0,0.00
639,Services,78920.36,29,0,0.00
640,Travel,5906.74,29,1,295.34
641,SaaS,79631.65,5,0,0.00
642,Travel,61587.2,4,0,0.00
643,Travel,86925.17,15,0,0.00
644,Services,37946.72,5,1,1897.34
645,SaaS,38527.43,17,0,0.00
646,Retail,97409.65,6,0,0.00
647,Services,92084.43,11,0,0.00
648,Travel,89111.83,30,1,4455.59
649,Retail,68656.81,27,0,0.00
650,SaaS,19388.04,17,0,0.00
651,Travel,7559.11,17,0,0.00
652,SaaS,52301,9,0,0.00
653,Services,40755.68,3,0,0.00
654,Services,82657.39,21,0,0.00
655,Retail,38361.87,6,0,0.00
656,Travel,7386.12,15,1,369.31
657,Services,98197.36,19,0,0.00
658,SaaS,10808.42,5,0,0.00
659,Retail,24529.35,8,0,0.00
660,Travel,19512.23,12,0,0.00
661,Retail,25494.03,13,0,0.00
662,Services,80369.46,3,0,0.00
663,Travel,98730.1,9,0,0.00
664,Travel,96538.01,9,0,0.00
665,Retail,85586.62,12,0,0.00
666,Services,33392.97,8,0,0.00
667,Retail,65452.01,12,0,0.00
668,Services,11758.82,21,0,0.00
669,Services,15963.73,9,1,798.19
670,Retail,58453.61,8,0,0.00
671,Services,70525.22,14,0,0.00
672,Travel,35779.94,3,0,0.00
673,SaaS,55331.78,6,0,0.00
674,Retail,98567.15,28,0,0.00
675,SaaS,71785.07,2,0,0.00
676,Retail,20372.41,1,0,0.00
677,SaaS,62562.85,25,0,0.00
678,Retail,33074.56,27,0,0.00
679,Services,62247.88,10,0,0.00
680,Services,85237.83,3,0,0.00
681,Retail,30391.31,28,0,0.00
682,Retail,69166.34,19,0,0.00
683,Services,99961.49,10,0,0.00
684,SaaS,39536.84,14,0,0.00
685,Travel,52107.31,20,0,0.00
686,Retail,72689.53,19,0,0.00
687,Services,60024.71,16,0,0.00
688,SaaS,12999.53,22,0,0.00
689,Travel,19507.95,3,0,0.00
690,Services,55704.51,4,0,0.00
691,Services,68378.03,12,0,0.00
692,Services,33802.39,16,0,0.00
693,SaaS,65714.12,28,0,0.00
694,Travel,48686.54,5,1,2434.33
695,Services,33381.57,5,0,0.00
696,Services,44261.51,24,0,0.00
697,Retail,33162.7,20,0,0.00
698,SaaS,50030.59,26,0,0.00
699,Services,83528.34,1,0,0.00
700,Retail,65458.44,1,1,3272.92
701,Services,86452.44,8,0,0.00
702,Travel,89956.11,25,0,0.00
703,Retail,71286.4,26,0,0.00
704,Services,11833.79,14,0,0.00
705,Services,94528.37,26,0,0.00
706,SaaS,72917.45,9,0,0.00
707,Retail,89992.06,20,0,0.00
708,Travel,29933.54,19,1,1496.68
709,Travel,72733.05,20,0,0.00
710,Services,61646.59,18,0,0.00
711,Travel,16620.55,3,0,0.00
712,Retail,46380.88,5,0,0.00
713,Retail,65676.3,8,0,0.00
714,Travel,30846.03,18,0,0.00
715,Services,87982.51,6,0,0.00
716,SaaS,82279.84,12,0,0.00
717,Retail,20128.11,27,0,0.00
718,Services,41338.02,21,0,0.00
719,SaaS,90402.05,29,0,0.00
720,Travel,49972.41,21,0,0.00
721,SaaS,38152.55,19,0,0.00
722,SaaS,52244.81,26,0,0.00
723,Retail,90673,27,0,0.00
724,SaaS,27280.65,14,0,0.00
725,Travel,6618.76,12,0,0.00
726,Travel,30352.75,25,1,1517.64
727,Services,88341.55,11,0,0.00
728,Travel,65446.43,6,1,3272.32
729,Retail,91104.97,27,0,0.00
730,SaaS,13031.04,26,0,0.00
